"","Nom","Sexe","Effectif","Pourcentage_Masc","Pourcentage"
"10088","nell","F","   427","13.387423935","13.387423935"
"10089","nesrine","F","  1273"," 0.313234143"," 0.313234143"
"10090","nestor","M","    26","92.696629213","92.696629213"
"10091","nicaise","F","   844","13.789581205","13.789581205"
"10092","nicola","M","     3","97.115384615","97.115384615"
"10093","nicolas","M","    55","99.985346814","99.985346814"
"10094","nicole","F","167738"," 0.141686908"," 0.141686908"
"10095","nikita","F","   149"," 9.146341463"," 9.146341463"
"10096","nil","M","     3","95.890410959","95.890410959"
"10097","noa","M","  2040","77.833315223","77.833315223"
"10098","noah","M","    45","99.663953402","99.663953402"
"10099","noam","M","     6","99.746085485","99.746085485"
"10100","noan","M","    32","89.003436426","89.003436426"
"10101","noel","M","     6","99.974364452","99.974364452"
"10102","noemi","F","   115"," 4.958677686"," 4.958677686"
"10103","noha","M","    70","78.328173375","78.328173375"
"10104","nolane","M","    15","65.909090909","65.909090909"
"10105","nolwen","F","   588"," 2.649006623"," 2.649006623"
"10106","nolwenn","F","  9440"," 0.031769565"," 0.031769565"
"10107","noor","F","   147"," 5.769230769"," 5.769230769"
"10108","nora","F"," 10172"," 0.029484029"," 0.029484029"
"10109","norbert","M","    27","99.753402137","99.753402137"
"10110","nordine","M","    15","99.741334713","99.741334713"
"10111","nouha","F","    11","21.428571429","21.428571429"
"10112","nour","F","  1304"," 9.632709633"," 9.632709633"
"10113","oculi","M","    16","79.487179487","79.487179487"
"10114","odette","F"," 13362"," 0.127064803"," 0.127064803"
"10115","odile","F"," 55736"," 0.086046178"," 0.086046178"
"10116","olga","F","  2135"," 2.910413824"," 2.910413824"
"10117","olive","F","    44","42.857142857","42.857142857"
"10118","olivia","F"," 20823"," 0.014405071"," 0.014405071"
"10119","olympe","F","   240"," 1.234567901"," 1.234567901"
"10120","omer","M","    31","96.547884187","96.547884187"
"10121","pacome","M","    16","96.321839080","96.321839080"
"10122","parfait","M","     6","96.296296296","96.296296296"
"10123","paris","M","     6","62.500000000","62.500000000"
"10124","pascal","M","    35","99.988192390","99.988192390"
